FactoryName;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;PostalCode;Country;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
Fjord, Ltd.;FINISHED GOODS;Apparel;Nike;;TEGRA;3099 N Pacific Highway Suite 100;Woodburn;Oregon;97071;USA;AMERICAS;114;98;95;0
KURIM VIETNAM CO., LTD;MATERIALS;Footwear;Nike;;KURIM;LOT C2 5;Binh Duong;Bình Duong;75100;Vietnam;SE ASIA;386;286;0;0
KKN Apparel Co.,ltd;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;KKSEZ Neangkok Paklong Commune  Modulsiem Koh Kong  Cambodia;Koh Kong;Kaoh Kong;09401;Cambodia;SE ASIA;7769;6974;62;0
Top Summit Garment Inc;FINISHED GOODS;Apparel;Nike;Collegiate;SABRINA;National Rd No 4;Kandal;Kandaal;315000;Cambodia;SE ASIA;6030;4229;91;0
HESHENG CO., LTD.;FINISHED GOODS;Equipment;Nike;Collegiate;HESHENG;Lot G14 Que Vo Industrial Park expansion;Bac Ninh;Bc Ninh;16852;Vietnam;SE ASIA;62;58;55;3
Shoetown Lei Zhou Footwear Co., Ltd;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;SHOETOWN;Lei Nan street;Zhan Jiang City;Guangdong;524200;China;N ASIA;283;251;96;0
Hi-Tech Viet Nam Apparel Co.,Ltd.;FINISHED GOODS;Apparel;Nike;;HI TECH;Block A3.2, Tay An Industrial Zone, Duy Trung Commune;Duy Xuyen District;Qung Nam;560000;Vietnam;SE ASIA;1692;1677;84;0
SHCA GARMENT (CAMBODIA) CO., LTD;FINISHED GOODS;Apparel;Nike;;SHCA GARMENT;Prey Sala Village Roleang Kreul Commune;Samraong Tong ;Kampong Spueu;050106;Cambodia;SE ASIA;543;523;0;2
Longchuan Somona Footwear Co.,Ltd Wuhua Branch;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;STELLA;Shuizhai Industry Garden;Meizhou;Guangdong;514400;China;N ASIA;882;828;92;0
FORMOSA TING SHO ENT CO LTD (TAIWAN);MATERIALS;Footwear;Nike;;FORMOSA TING SHO;NO 37 SEC 2 ZHONGSHAN RD DACUN;Changhua;Changhua;515;Taiwan;N ASIA;75;20;65;55
B'LAO SPORT COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;;BLAO SPORT;Lot CN 37B Zone C Phong Dien Industrial Zone Phong Dien Ward;Hue;Tha Thiên-Hu;530000;Vietnam;SE ASIA;445;397;0;0
C&W Embroidery, Inc.;FINISHED GOODS;Apparel;Nike;;C&W;386 Hwy 356;Rienzi;Mississippi;38865;USA;AMERICAS;150;110;80;0
SADESA THAILAND Sena;MATERIALS;Footwear;Nike;;SADESA;89 Moo 11 Samkok sena Road;Ayutthaya;Phra Nakhon Si Ayu;13110;Thailand;SE ASIA;574;401;17;0
YSA  MOL;FINISHED GOODS;Apparel;Nike;;YESIM;STR CEBANOV 3a;TARAKLIA;Gagauzia-- Unitate;7402;Moldova;EMEA;392;313;95;0
Long Fa Shoes Industrial Huizhou Co., Ltd.;FINISHED GOODS;Footwear;Nike;Collegiate;DEAN SHOES;LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY;Huizhou;Guangdong;516121;China;N ASIA;5317;4011;57;0
C.C. Creations;FINISHED GOODS;Apparel;Nike;Collegiate;CC CREATIONS;619 Capitol Pkwy;Bryan;Texas;77807;USA;AMERICAS;282;243;57;0
TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT;FINISHED GOODS;Apparel;Nike;;TNG;Ngoi Cheo Hamlet Nam Hoa Commune ;Thai Nguyen City;Thái Nguyên;25000;Vietnam;SE ASIA;1431;1290;75;0
PT.BERKAH KARYA JAYA SENTOSA;FINISHED GOODS;Apparel;Nike;Collegiate;PT.BERKAH KARYA;KIC Gatot Subroto St block 8F no 07 Ngaliyan;Semarang;Jawa Tengah;50181;Indonesia;S ASIA;132;105;45;0
DONGJIN TEXTILE DYEING HOUSE;FINISHED GOODS - COMPONENTS;Footwear;Nike;;DONGJIN;#16-13 SINSANRO, SA-HA GU, BUSAN, KOREA;SA-HA GU, BUSAN;Busan Gwangyeogsi;49432;South Korea;N ASIA;42;39;16;23
Nan Yang Garment Co., Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;NAN YANG;99 1 Moo 4 Banna;Wachirabaramee;Phichit;66140;Thailand;SE ASIA;2463;2120;76;18
ELITE APPARATECH LLC;FINISHED GOODS;Apparel;Nike;;ELITE APPARATECH;Street No 5 Long Khanh Industrial Zone;Long Khanh City;Ðng Nai;76000;Vietnam;SE ASIA;1003;779;0;0
PT. Formosa Bag Indonesia;FINISHED GOODS;Equipment;Nike;;FORMOSA;Jl Raya Semarang Puwodadi Km 26 Gebangan Tegowanu;Grobogan;Jawa Tengah;58165;Indonesia;S ASIA;5865;5191;81;1
SNP CO.,LTD.;FINISHED GOODS;Apparel;Nike;;SPORTS CITY;11F., No.585, Ruiguang Rd.;Taipei City;Bình Duong;11492;Vietnam;SE ASIA;2780;2456;90;0
K-L MFG. CO., INC.;FINISHED GOODS;Apparel;Nike;Collegiate;K&L MANUFACTURING;2438 North Ruby Street;Spokane;Washington;99207;USA;AMERICAS;98;92;61;0
Dongguan Stella Footwear Product Creation Co., LTD.;FINISHED GOODS;Footwear;Nike;Collegiate;STELLA;Hou Da Road Da Ling Management District;Dongguan;Guangdong;523835;China;N ASIA;457;290;55;0
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06;FINISHED GOODS;Apparel;Nike;Collegiate;MAXPORT;No 361 Nguyen Van Troi;Nam Dinh;Nam Ðnh;42000;Vietnam;SE ASIA;443;408;87;0
Haiyan Golden Gate Socks Industry Co., Ltd;FINISHED GOODS;Equipment;Nike;;HAIYAN;No 15 Zhangqiao Village;Haiyan;Zhejiang;314300;China;N ASIA;70;52;52;0
Blue Star Graphics;FINISHED GOODS;Apparel;Nike;;BLUE STAR;15825 Gateway Drive;Frisco;Texas;75033;USA;AMERICAS;45;41;65;0
Germton Development Company Limited;FINISHED GOODS;Apparel;Nike;;GERMTON DEVELOPMENT;Doi 30 Industrial Clusters ;Phu Ninh District;Qung Nam;52706;Vietnam;SE ASIA;495;457;0;0
SHAHI EXPORTS PVT LTD, UNIT 37;FINISHED GOODS;Apparel;Nike;;SHAHI;SY NO  256 P 252 P AND 96 P;MYSORE;Karnataka;570018;India;S ASIA;1863;1827;89;0
PT. POU YUEN INDONESIA;FINISHED GOODS;Footwear;Nike;;POU CHEN;JALAN RAYA CIANJUR BANDUNG KM7, KAMPUNG LEMBUR SAWAH;CIANJUR;Jawa Barat;43284;Indonesia;S ASIA;12122;9959;57;0
PT. Glorystar Wisesa;FINISHED GOODS;Apparel;Nike;;GLORYSTAR WISESA;Jl Raya Cirebon Bandung Paningkiran Sumberjaya;Majalengka;Jawa Barat;45455;Indonesia;S ASIA;585;541;95;0
Bharath (INDIA);FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;BHARATH;No 11 1G;Ranipet;Tamil Nadu;632401;India;S ASIA;31;24;0;0
Long Chuan Simona Footwear Co. Ltd;FINISHED GOODS;Footwear;Nike;Collegiate;STELLA;Xin cheng Long Chuan;HeYuan;Guangdong;517300;China;N ASIA;4537;3848;87;0
Cassia Garment Company Limited;FINISHED GOODS;Apparel;Nike;;RAMATEX;287 289 Suksawad 30 Suksawad Road Bangpakok;Rathjaburana;Bangkok;10140;Thailand;SE ASIA;764;638;64;91
Iruna Comunicacion Textil - SERISUR;FINISHED GOODS;Apparel;Nike;;IRUNA;Poligono Industrial La Rosa V;Chauchina-Granada;Andalucía;18330;Spain;EMEA;16;13;50;0
Minone Enterprises Co Ltd;FINISHED GOODS;Equipment;Nike;;MINONE;253 MOO 6 NONGBOT SUBDISTRICT;NANGRONG;Buri Ram;31110;Thailand;SE ASIA;483;439;77;0
